,time,users,sessions,newusers,crashes
0,2018-12-22 09:00:00,64,60,5,0
1,2018-12-22 10:00:00,79,84,8,0
2,2018-12-22 11:00:00,97,102,22,0
3,2018-12-22 12:00:00,107,102,13,0
4,2018-12-22 13:00:00,105,117,10,2
5,2018-12-22 14:00:00,111,112,8,0
6,2018-12-22 15:00:00,109,105,10,0
7,2018-12-22 16:00:00,119,133,12,3
8,2018-12-22 17:00:00,121,122,15,2
9,2018-12-22 18:00:00,123,126,15,0
10,2018-12-22 19:00:00,118,102,10,2
11,2018-12-22 20:00:00,128,119,17,2
12,2018-12-22 21:00:00,119,106,11,1
13,2018-12-22 22:00:00,107,99,8,2
14,2018-12-22 23:00:00,109,101,15,1
15,2018-12-23 00:00:00,87,73,6,0
16,2018-12-23 01:00:00,86,72,7,0
17,2018-12-23 02:00:00,69,67,3,0
18,2018-12-23 03:00:00,56,47,2,0
19,2018-12-23 04:00:00,46,38,5,0
20,2018-12-23 05:00:00,47,38,5,0
21,2018-12-23 06:00:00,39,27,1,0
22,2018-12-23 07:00:00,36,32,4,0
23,2018-12-23 08:00:00,38,38,5,0
24,2018-12-23 09:00:00,50,48,5,0
25,2018-12-23 10:00:00,57,51,12,0
26,2018-12-23 11:00:00,55,58,11,0
27,2018-12-23 12:00:00,63,61,6,0
28,2018-12-23 13:00:00,77,63,8,0
29,2018-12-23 14:00:00,70,55,12,1
30,2018-12-23 15:00:00,83,85,15,0
31,2018-12-23 16:00:00,73,67,11,0
32,2018-12-23 17:00:00,75,70,14,0
33,2018-12-23 18:00:00,79,86,14,0
34,2018-12-23 19:00:00,69,70,10,0
35,2018-12-23 20:00:00,87,82,19,0
36,2018-12-23 21:00:00,81,74,8,0
37,2018-12-23 22:00:00,79,68,9,1
38,2018-12-23 23:00:00,72,78,7,1
39,2018-12-24 00:00:00,69,65,5,1
40,2018-12-24 01:00:00,65,52,2,0
41,2018-12-24 02:00:00,62,52,5,0
42,2018-12-24 03:00:00,50,34,3,0
43,2018-12-24 04:00:00,42,33,1,1
44,2018-12-24 05:00:00,37,34,2,0
45,2018-12-24 06:00:00,43,42,6,0
46,2018-12-24 07:00:00,36,30,5,0
47,2018-12-24 08:00:00,47,45,4,0
48,2018-12-24 09:00:00,45,38,4,0
49,2018-12-24 10:00:00,55,51,3,0
50,2018-12-24 11:00:00,73,82,12,0
51,2018-12-24 12:00:00,87,85,15,0
52,2018-12-24 13:00:00,81,89,9,0
53,2018-12-24 14:00:00,90,94,7,0
54,2018-12-24 15:00:00,96,91,8,0
55,2018-12-24 16:00:00,82,78,7,0
56,2018-12-24 17:00:00,97,102,7,0
57,2018-12-24 18:00:00,91,114,10,0
58,2018-12-24 19:00:00,111,123,9,0
59,2018-12-24 20:00:00,93,105,3,0
60,2018-12-24 21:00:00,92,80,9,0
61,2018-12-24 22:00:00,74,57,7,0
62,2018-12-24 23:00:00,58,58,5,0
63,2018-12-25 00:00:00,50,45,4,0
64,2018-12-25 01:00:00,43,43,6,0
65,2018-12-25 02:00:00,39,39,2,2
66,2018-12-25 03:00:00,30,23,3,0
67,2018-12-25 04:00:00,26,26,3,0
68,2018-12-25 05:00:00,38,37,2,0
69,2018-12-25 06:00:00,41,42,7,0
70,2018-12-25 07:00:00,42,38,5,0
71,2018-12-25 08:00:00,39,45,4,0
72,2018-12-25 09:00:00,39,31,3,0
73,2018-12-25 10:00:00,49,52,5,0
74,2018-12-25 11:00:00,46,47,7,1
75,2018-12-25 12:00:00,49,60,5,0
76,2018-12-25 13:00:00,57,62,6,0
